UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
B2L'RU2B2F2R'D'BFUR'D'LBL'U2BL'R2,coset 4-2006,C_s_(a) I 2
F2DUF2L2F2D'B'U'F'DULF'U'RB'LD2B',coset 4-2006,C_s_(a) - 2
D'B2UB2L2U2L'B'D2RU2BF2D'U'BD'F'DR',coset 4-2006,C_1 - 1
L2RF2D2RD2RD'FDFLF'RB'F2DUB'F2,coset 4-2006,C_s_(a) - 2
L2D2R2B2D'BUBF2R'D'B'R2F'D'R'B'LFR',coset 4-2006,C_2_(a) - 2
B'R2FL2F2U2F'R2F'UB2U'RBD'L2U2RU'L,coset 4-2006,C_s_(a) - 2
R'B2L'U2R2U2B2F2L'R'FRFULD'BU'FL2,coset 4-2006,C_1 - 1
F2U'R2F2U2B2RU2B'RUFL2D'B2R'UBL'F2,coset 4-2006,C_1 - 1
B2UB2L2U'RU'FUB2DB'L'ULF'R'D'U2R,coset 4-2006,C_2_(a) A 2
D'R2UB2DU'RD'L'B2U'BR'DR2F'UFR2F,coset 4-2006,C_2_(a) - 2
UL2F2R2UBUR'D2B'R'DLR2F'D'B'F2L2R',coset 4-2006,C_2_(a) A 2
F'U2FL2B2U2F2DB'F2D2R'F'D'LRUF'RU',coset 4-2006,C_s_(a) - 2
F'R2D2FU2BF2L2BD'LR'UL2FU2LF2UF2,coset 4-2006,C_s_(a) - 2
DL2F2R2B2L'R'D'LFD2B2L2U'BRB2U2FU',coset 4-2006,C_s_(a) - 2
LB2F2L2F2R'B2F2DFR'B2F2U'B'F'L2DFL2,coset 4-2006,C_1 - 1
D2R2F2UF2D2FRB2D'U'FL2B2R2F'L'R'DF',coset 4-2006,C_s_(a) - 2
F2RB2F2RU2B'RU2F'D2FUF'DB'U'B2RU,coset 4-2006,C_s_(a) - 2
L2F2U2R'U2B2RD2L2B'UR'DBRFR'UL2F2,coset 4-2006,C_s_(a) - 2
L2BF2D2F'R2U2RD'FD2FR'B2R2D'LF'U2R',coset 4-2006,C_1 - 1
R2D2F'R2B'RU'LR2BR2D'R'F2URD2L2RU2,coset 4-2006,C_s_(a) - 2
R2F'D2B2F'R2UBR'D2R'BR'D'L'BL2DU2F',coset 4-2006,C_s_(a) - 2
RB2L2U2B2F2L2U'B'R'BDR'U'RB'L'U'F'L2,coset 4-2006,C_s_(a) - 2
R2BU2R2BR2D2R'FR2B'FU2R'DUFL'B'U',coset 4-2006,C_s_(a) - 2
LR2F2U2F2D2U'R2FR2BD'B2U'RULR'FL2,coset 4-2006,C_s_(a) - 2
D2F2U2L2B'R2F'LF2UL'D2L2F2R'D2UR2FL',coset 4-2006,C_s_(a) - 2
U2F2D2B2F2LF2R2FRU'B2D'B'F'D2RD'F2U2,coset 4-2006,C_s_(a) - 2
F2D2BF2D2BL'F'UB'RB'F'D2L'B2UL2D'F',coset 4-2006,C_s_(a) - 2
D2L2D'U2B2R2FR2B'L2UL'D'F'R'B2ULF2U,coset 4-2006,C_s_(a) - 2
RB2U2RF2D2L2U'F'LB2D'R'U2F'UBRD'F',coset 4-2006,C_s_(a) - 2
FD2R2D2L2B2L'D2F2DFUL2B2U2L'B'R'UF2,coset 4-2006,C_s_(a) - 2
L2F2R'F2L'F2U2R'B2FD2U'L2F'DL'BLB2R',coset 4-2006,C_s_(a) - 2
B2R2F2U2RF2D2UFD'U'L2RF'R2F2LB'U'R',coset 4-2006,C_s_(a) - 2
F2L2U2L2D'LBFU'R'DL2RBL2D2L'R2D2F',coset 4-2006,C_s_(a) - 2
B2UR2D'B2DFD2LRDBD2U'FD2U2L'D2R2,coset 4-2006,C_1 - 1
D2BFD2FD'UB'L'R'D2U'F'D'B2R'F2R2U2F',coset 4-2006,C_s_(a) - 2
B2D2F2R2U2L'D2R2FLD'UBRFUL'FRF',coset 4-2006,C_s_(a) - 2
U2F2R'F2L2B2FL'DL2UBFD2L'D'U2B2U2F2,coset 4-2006,C_s_(a) - 2
F2D2L2U'L2F2D2F'U2B'DF2R'UBD2LBF'R',coset 4-2006,C_s_(a) - 2
F2R2D2LD2L'F'R'BL'UFLR'F2UR2D'B2R,coset 4-2006,C_1 - 1
R2D2L'U2F2U2F2D'U'B'UFU'RDF'UR2D2R',coset 4-2006,C_1 - 1
L2R2F2U'B2U'LR'U'FL2UL'D2F'R2DLBF,coset 4-2006,C_1 - 1
R2D2B2R2UF2RD2BLDFL2U2L2BD'R2B'R,coset 4-2006,C_1 - 1
R2F2D2R2D2B'L2D'LF'D'U'BR'D'LD2FR2F',coset 4-2006,C_1 - 1
RD2LR2F2U2R2FD'BD'LB'UB'F'L2RU2B2,coset 4-2006,C_1 - 1
D2L2U2BL2F'LF'R'U'LB2U2BRU'B'R'D'B',coset 4-2006,C_1 - 1
F2L'F2RD2R'D2B'F'DU2L'F2U'B2F2RB'F2D,coset 4-2006,C_1 - 1
F2R2B'F2D2F'R2U'FD2B'LFDR'B'LR2B2F,coset 4-2006,C_2_(a) - 2
U2R2B2D2L2FL2BL'B2RF2U'LDB'FLF2R,coset 4-2006,C_1 - 1
R'D2R'F2D2LD2BL2DRD2U'B'F2L2U'L2UF',coset 4-2006,C_1 - 1
R2FR2B2FL2R2DB2F'LR'U'R2FD2L'B'DF2,coset 4-2006,C_1 - 1
B2D2R'F2R'B2L'BR2UL'DL2B2RBDFL'B,coset 4-2006,C_1 - 1
B2R2FR2D2B2L2U2FR'BF2L'U2R2UBDRF,coset 4-2006,C_1 - 1
R'B2D2L2D2U2LF'RD2BLF'D'L'D'UB'D'R,coset 4-2006,C_1 - 1
F'U2L2D2BU2F2D'B'L2D'R'F2RF'L2ULR'F2,coset 4-2006,C_1 - 1
F2R2F2D'U2L2U'R2F'D'LU'RF'D'FD'LFL',coset 4-2006,C_1 - 1
BL2F'L2U2R2F'L'B2L2D'LU'RF'RD2B2L'F',coset 4-2006,C_1 - 1
R'B2U2B2R'B2L'DRDB'R'D2U'B'D'BF'U2R',coset 4-2006,C_1 - 1
L2U2R2F2DL2B'D'F'U'B'R'D2RF'RDLF2D,coset 4-2006,C_1 - 1
L2D2LD2RB2L2DB2L2RBRF'DR'UF'RD2,coset 4-2006,C_1 A 1
D2U2B'L2D2R2U2B'L2D'F2R'U'BR2BLDU2R',coset 4-2006,C_1 - 1
UL2F2UR2B2R'D2FR2DU2LU'B'F'D'R'U2R',coset 4-2006,C_s_(a) - 2
L2U2FL2B2D2L2D2L'DFR2BD'U2LU'BD2R',coset 4-2006,C_s_(a) - 2
D2B2L'D2R'B2R2DBF'U'LDL2F2L'U2FR2U2,coset 4-2006,C_s_(a) - 2
D2B2L2RD2FR2U'F2D'F2LRF'D2B2F'U'R2F,coset 4-2006,C_1 - 1
L2B2U2RD2R'U'B'FR2D'LUBR'F2L2D2FR,coset 4-2006,C_1 - 1
LD2U2L'B2U2BLD'FU2R'UBDRD2R'BR',coset 4-2006,C_s_(a) - 2
B2DF2L2R2D'LFR'B2UR2BDF2R'F'R2U2L2,coset 4-2006,C_s_(a) - 2
R2F2U2L2B2RD2FL2R2DL'U2L'UB'DF2RF',coset 4-2006,C_s_(a) - 2
L2U2RF2LU2R2D2U'R'B'RB'D'F2UBF'D2L,coset 4-2006,C_s_(a) A 2
BR2U2R2F'U2B2D2UF2L'F2DBF'R'F2UF2L',coset 4-2006,C_s_(a) A 2
B'U2L2B'D2U2BD'B2LUFR'D'LB2DF'UF,coset 4-2006,C_1 - 1
L2D2B2D2F'L2B2U2B'L2DLB'R'F'R2DUL'B,coset 4-2006,C_1 - 1
D2L2D2B'D2U2L2DRB'F'UL2D2L'D'L2B'RF',coset 4-2006,C_1 - 1
L2F2L2F2L'B2RD2UF2DFL'BF2D'B2U2B2F',coset 4-2006,C_1 - 1
L2FL2BR2U2B2DR2B'LF'RU2B2DFRU'R',coset 4-2006,C_s_(a) - 2
L2B2L2D2R2BLD2F2UL2BL2D'R2B'L'FRU',coset 4-2006,C_s_(a) - 2
L2B2F2U'B2F2R'B'F'LB'DU'BRF2URB2U2,coset 4-2006,C_s_(a) - 2
F'D2U2L2U2B2F'L2B2RF'D'LB'U'RUBR2F',coset 4-2006,C_s_(a) A 2
R'F2L'D2B2L2F'R'B'UR2BLRB'DU2B'D'R',coset 4-2006,C_s_(a) - 2
U2B2D'L2UB2FDR2D'L'BR2UR'F'DL'UF',coset 4-2006,C_s_(a) - 2
BR2B'L2U2R2F'D'U'L'F'U2B2L2U'LR'FU'R2,coset 4-2006,C_s_(a) - 2
U2R'B2RU2R2F2DBDU'F'R2DF2RB'D'L'B2,coset 4-2006,C_1 - 1
L2F'L2B2L2BRD'U2BD'U'LDLUFU'RF2,coset 4-2006,C_1 - 1
F'U2L2B2F2U2L2DL'R2D'LF'UL2RD'F'L'R2,coset 4-2006,C_1 - 1
BR2D2F2U2R2D2L'DBD'LUFD'R'B'L'F2D2,coset 4-2006,C_1 A 1
U'R2U'L2D'U2L'B2L'U2LFDR2B'RU'L'FR2,coset 4-2006,C_1 - 1
R'F2R'U2B2F2LFU'F2U'FU'FD'R'FU'B'L2,coset 4-2006,C_1 - 1
U2F2R2F2D'L2U'R'F'L'R'D'L'R'U'B'D'LF'L',coset 4-2006,C_1 - 1
F'D2R2B'F'D2R'BFD2B'R'UB'U2L'DL2B'R,coset 4-2006,C_1 - 1
L2F'L2BU2B'F2U2RF'D'LD'UBR'DB'R2F',coset 4-2006,C_1 - 1
D'F2DU'L2B2RUBL2B'LUB'D'U2L'B2UF',coset 4-2006,C_2_(a) - 2
B'L2B2L2F'L2U'RUL'FL'D'L'UBL2BFR,coset 4-2006,C_1 - 1
R2B2F2R2F2R'D2FU'BD2BD'BRF'UL'DR2,coset 4-2006,C_1 - 1
LB2U2L'B2U2L2URF'D2F2L'R2D'L2B'UF'U,coset 4-2006,C_1 - 1
D2B2U2R'D2U'L'U'B'F2R'BD2R2FUB'DF'R2,coset 4-2006,C_2_(a) - 2
B2R2U2FL2D2FU'F'DLR'D2UF'U'BU'R'B',coset 4-2006,C_s_(a) - 2
D2U'F2DR2ULR2B2DB'F2RDF'DUBRU2,coset 4-2006,C_1 - 1
L2B2UF2UR2D'F'LBU'RD2FUR2DU'L'U,coset 4-2006,C_s_(a) - 2
D2R2B2L'D2RB2F2D2BUR'DRFR'BU'RU2,coset 4-2006,C_s_(a) - 2
R2B'FR2B'F2D'RB'U2RU2RF'LURDFU2,coset 4-2006,C_s_(a) - 2
FD2U2F'L2B'R2B2LR'BD'F'L'B'DF'R2D'F',coset 4-2006,C_s_(a) - 2
DR2F2U'R2F2U2F'R'U2L'F2U'BDL'R'B'D2B',coset 4-2006,C_s_(a) A 2
L2F'U2L2B'R2FRU'R'F2D'F'UL'UR'U2FU',coset 4-2006,C_s_(a) - 2
B2R'B2R'D2LRB'D'F'D2L'B2U2R2U'L2F'D'U',coset 4-2006,C_s_(a) A 2
BF2L2B2FD2F'DLRF2UB2R'F'L2D2RD'F',coset 4-2006,C_s_(a) A 2
D2FR2D2F2R2U'F'L'D'RB2RB'F'LD'L2B2R',coset 4-2006,C_s_(a) A 2
U'L2F2R2B2U2RB'UB'F'R'BDR'B2R2D'L2R',coset 4-2006,C_s_(a) - 2
L'R2U2B2LF2R2D2U'F2R'BF'D'B2D2L'B'F2U',coset 4-2006,C_s_(a) - 2
D'B2U'F2R2DU2RF2U'LBRF'D'U'BRD2F',coset 4-2006,C_s_(a) - 2
R'D2R2U2RF2D'R'D'L'DB2F'L2D'BURFR',coset 4-2006,C_s_(a) I 2
RB2RF2L2U2R'F2UB'DFL2B2LRD'BL2R',coset 4-2006,C_s_(a) - 2
R2B'R2F'L2D'R'F2RF2D'U'L'FRD'U2FU'R',coset 4-2006,C_s_(a) A 2
D2L2F2U'R2B2UL2F'L2DB'UR'F'R'D'B2LR',coset 4-2006,C_s_(a) A 2
F2L'F2D2LR'F'D'BL2U2RB2FU'R'D'FU2F2,coset 4-2006,C_s_(a) - 2
D'F2UB2L2D'R2U'L'F2D'RU'BLBDR2BF',coset 4-2006,C_s_(a) A 2
L2D2L'D2R'B2D'F2R2UBFD'RU'R2FU2R2F2,coset 4-2006,C_s_(a) - 2
D2B'R2D2FR2UF'R'B'R'D2BU2RU'L'FD'F',coset 4-2006,C_s_(a) - 2
D2B2R2F2R2U2L'B'L2U2L'FD'FR2B'LD'FR,coset 4-2006,C_1 A 1
R'B2L'D2LB2L2B2U'LFLDL'RD'R2B'U'F,coset 4-2006,C_1 - 1
U2R2B2LB2L'F2R'U2BDLUL'FUBF2LU,coset 4-2006,C_1 - 1
B'R2B'F2U2B'U2LD2RUBDFD2UF2D2UR',coset 4-2006,C_1 - 1
F2LF2RU2B2F2LB'UB2L'F'L2F'D'FR2U'R,coset 4-2006,C_1 - 1
U'F2U2L2DL2D'L'B2RUL2F'DB'U'L'FD2L',coset 4-2006,C_1 - 1
RB2D2L'F2L'D2RF'L2F2LB'F2DL'F'U'BF',coset 4-2006,C_1 A 1
D'UB2F2L2U'R'UB'L'DR2BU2B'UB'D2RF',coset 4-2006,C_1 - 1
F2L2RD2RB2L2B'F2UL2B2FU2LB'L2DU'R',coset 4-2006,C_1 - 1
D'L2F2U2F2D'B'R2DUR'D2U'B2F'DR'DLF',coset 4-2006,C_1 - 1
R2F2UB2D2UR'UFRBRB2UL'F'D2RB2U',coset 4-2006,C_1 - 1
L2F2D'B2D2B2F2LD'BRU'FLB'R2DLU2L',coset 4-2006,C_1 - 1
L2R2B2F2D2F'L2U'B'F2L'U2FU2L2DU2L'UR',coset 4-2006,C_1 - 1
B'L2R2F'U2B'L2FD2L'U'BD'FL'DR'B2UR2,coset 4-2006,C_1 - 1
D2L'R2B2L'R2D'R2DFUBDFU2FD2LF'R',coset 4-2006,C_1 - 1
B2D2L2B2LD2R'F2D'BU2LUB2LDFDU2B',coset 4-2006,C_1 A 1
R2B2L2B2R2D2FL2R2B'U'LD2L2FDL'B'R'D,coset 4-2006,C_1 - 1
D2B'F2D2BR2U2L2B2RU2B'D'FU'BL2R'B2L,coset 4-2006,C_1 - 1
RD2U2R'D2L'DBU2F'D'F2DR2DF'L'FU2B,coset 4-2006,C_2_(a) A 2
B2D2B2R2U'F2L2D2L2R'B2DL'BU'R2FLD2B',coset 4-2006,C_2_(a) - 2
DUB2DL2DB2RU'B2U'RB'FULDB'U2R,coset 4-2006,C_1 - 1
L2B2F2D'L2U2F'RB'D'UBD2R'FD2BL'U2F',coset 4-2006,C_1 - 1
R2UR2F2L2F2D'UF'D2BU'RD'U2BL'BFR,coset 4-2006,C_2_(a) - 2
R2F2L2U2R'B2RD'RB'LR2FD'L2U'R2B'U2F',coset 4-2006,C_s_(a) - 2
R2FU2B'R2D2L'B'DL'D'RB2D'B2L2BL'UF',coset 4-2006,C_s_(a) - 2
RU2R2U2B2F2L'B'UBFU2F'RFLDU'BU2,coset 4-2006,C_s_(a) - 2
D2L2D2F2R2URD2LU'R2FDLB'UBR2U2F',coset 4-2006,C_s_(a) - 2
F2R2FL2D2B2R2F'U'R2D'BR'F'D'B2F2LUR',coset 4-2006,C_s_(a) - 2
F'R2D2B'F2D2B'D'RD2FUR'B'D'L2U'BL'B2,coset 4-2006,C_s_(a) - 2
L'B2R2B2U2LD2U2F'DL'BDL'U'RF'D2LB',coset 4-2006,C_s_(a) - 2
F2R'D2B2R2U2B2U'LF'D'RD2UF2R2BDFL',coset 4-2006,C_s_(a) - 2
D2L2F2U2F'D2U'BULR2U2F'URDL'D'R2B2,coset 4-2006,C_s_(a) - 2
DF2U'R2DR2FD2RF2DU2BFL2DL'R'D'R',coset 4-2006,C_s_(a) - 2
U2L2B'R2BR2B2U'RUL'F'D'RD2UF'U2BF',coset 4-2006,C_s_(a) - 2
U2B2UR2F2U2B'F2R2UFL'B'F2L'DLFRU2,coset 4-2006,C_s_(a) - 2
UR2DL2DU2RULB'FD'R'U'LF2RB'R2F',coset 4-2006,C_s_(a) - 2
BL2D2BU2L'U2LDRU'B'R'FR'U'L'U2L2F2,coset 4-2006,C_s_(a) - 2
D'F2D'F2L2D2LD2BU'F'U'RF'U2F'D'U'L'R2,coset 4-2006,C_1 - 1
L'U2R2F2LD2R2D'BDR'B2FL2D'RU2F'U2L',coset 4-2006,C_s_(a) - 2
U2R2D2F2LU2L'B2D2F'D'BDL'F2U'BDF2R',coset 4-2006,C_s_(a) - 2
LB2L'D2R'B2D2FL2FR'B'DU'F'R'B'L2U'L2,coset 4-2006,C_s_(a) - 2
U2RF2D2RD2RF'D2B'L2F'D'B2U'R'DLDF,coset 4-2006,C_1 - 1
R'D2L'U2B2L2U'B'L2F2D2RF'RF2UR'BD'U2,coset 4-2006,C_s_(a) - 2
UB2F2U'F2DB2LF'U2B'L2U'RDB'F'R'D2R',coset 4-2006,C_1 - 1
LD2LU2R2D2LU'F'RU2R'DF'R'UL2F'RU,coset 4-2006,C_1 - 1
U2FU2BU2B'L2U2R2DR'UF'DBLBRF2U,coset 4-2006,C_s_(a) - 2
D2B2LB2RF2D'R2FLUL2D'FDBR'D'R'F2,coset 4-2006,C_s_(a) - 2
F'R2B2F'R2U2B2L2U'R'U'F'DLR'D2U'F'L2R2,coset 4-2006,C_s_(a) - 2
U'L2B2D'L2F2RF2UBDF'U'BU2R'BLD2R',coset 4-2006,C_s_(a) - 2
F'D2R2BFU'B2LD'BD2B'FR'D'U'FL'UF2,coset 4-2006,C_s_(a) - 2
B2LD2U2R2B2D'FRBFDF'L2D'LB2DF2L',coset 4-2006,C_1 - 1
F'D2F2U2BD2FR2U2LBRF2D'F'L'U'BR2U,coset 4-2006,C_s_(a) - 2
DUB2L2U2R2BU2B2LFD2F'U'F2L'D'FL2R',coset 4-2006,C_s_(a) - 2
L2F2L2R'D2F'L2B'DL2U'LUBF'R2F'D'FR,coset 4-2006,C_s_(a) A 2
R'U2R'D2B2F'R2DB2D'LBD'F'D'U'LD'R'F2,coset 4-2006,C_s_(a) - 2
D2L'D2B2RB2RUF'D2U2RB'DR2B2R2F'D2B',coset 4-2006,C_s_(a) - 2
R2B2L'F2L'R'D2U'FD'U'B2L2F'RD'FR'B'R',coset 4-2006,C_s_(a) - 2
B2U'R2D2L2RB'L'B2L'DUB'F2D2UL2B'RU,coset 4-2006,C_2v_(a2) I 4
D2F2L2U2L'B2L'B'RU'F'D'B'R2F2D2U2RD'U2,coset 4-2006,C_s_(a) I 2
LU2F2L'RUB'R'D'BD2B2DL'B'L2DFR'U2,coset 4-2006,C_2v_(a2) I 4
L'R'B2LD2R2FR'F2L'DL'BR2UF2DBF'R',coset 4-2006,C_2v_(a2) - 4
R2D'F2R2D'U2B2D2R'U2B'D'F'ULBDF2R'F2,coset 4-2006,C_s_(a) - 2
L2B2D'UF2L2B'D2R'B2F'R'B'D'B2LU'R'UF',coset 4-2006,C_s_(a) A 2
L2R2D'B2F2DU2RBR2D'FULB2U2BL2U2R,coset 4-2006,C_s_(a) - 2
D2U2B2L2D'URFD2FD'B'F'UL'FD'F2D'R',coset 4-2006,C_2v_(a2) - 4
B2R2U2LB2RD2F2UR2FU'B'FU'F2L'F'R2B2,coset 4-2006,C_s_(a) - 2
U2L2RB2L'B2F2L2B'D'FU'B'R'D'FRB2F'R2,coset 4-2006,C_2v_(a2) - 4
R'D2LF2D2LR2DR2U2F2R2B'U'F'D'R'U2FU2,coset 4-2006,C_s_(a) - 2
D2B2L2D'B2F2L2B'R2ULDR'D2URF'R'U2B',coset 4-2006,C_1 - 1
L2RF2U2L'RF'D'RF'U2B'R2F'ULD'F'L'R,coset 4-2006,C_s_(a) - 2
D2R2D2F2RB2R2U'R'B'D'FUL'D2RFLU2R',coset 4-2006,C_2_(a) A 2
U2LF2RU2F2D2U'L'R'F'LDB'R2F'D'F'R'U,coset 4-2006,C_s_(a) A 2
F2D2UF2D2B'LFL2FD'U'LR2D'U2F2LB'U',coset 4-2006,C_s_(a) A 2
R2D2LR'F2R'U2RFL'B'D'U'B'U2B2FU'RU',coset 4-2006,C_2v_(a2) A 4
RD2RD2L'B2UB'L2F'D2B'URU2B2DL'B'F',coset 4-2006,C_s_(a) - 2
R2D'L2B2F2DB2LDF'U'B'D'B'R2B'LB'F'R',coset 4-2006,C_2v_(a2) - 4
LRF2RU2FDL'R'D2R'BLU2LFD'LF'U',coset 4-2006,C_2v_(a2) - 4
U2R2UF2DB2FUFLD2BLRF'UBL'DR',coset 4-2006,C_1 - 1
L2F'D2B'U2B'R2B'LD'B'U2RD2L2UBDF'R',coset 4-2006,C_2_(a) A 2
D2B2D2R2U2RF2R2BL2F'L'UF'D'RU2FL2F,coset 4-2006,C_1 - 1
D2L2BD2R2B'FL2R'ULUF2D'BUFU2R'F',coset 4-2006,C_2_(a) - 2
D2L'U2B2U2R2D'R'D'U2FU'L'BD'L2FU2BU2,coset 4-2006,C_1 - 1
D2F'L2BL2U2BU'LB2D2F'L2D'U2BLU'B2R',coset 4-2006,C_2_(a) - 2
F'D2B'R2D2L2B2L'FL'B'L2DRD2UB'F'DR',coset 4-2006,C_s_(a) - 2
L2F2UB2DB2R2FRU2B2D'R'UB'L'BL2F'R2,coset 4-2006,C_s_(a) - 2
LU2L2B2F2D'UB'LD2B'R2UF'UF'L'B'U2F',coset 4-2006,C_s_(a) - 2
B2L2RF2LU2R2U'FLDL2F'DRDRU2BF',coset 4-2006,C_s_(a) - 2
F2R2D2L'F2RB2RDBD2LDL2B'UBFDR',coset 4-2006,C_s_(a) - 2
D2BR2U2F'L2B2D'U'L'B'L2UB2URD2LB2F',coset 4-2006,C_s_(a) - 2
L2B2R2D2B2UR'F2DF2U2RFL'BDUF'LU2,coset 4-2006,C_s_(a) - 2
UR2B2D'R2F2LD2R'BU'B2FLB2DBF2L2U',coset 4-2006,C_s_(a) - 2
B2RD2F2U2F2L'F2L'U'L2FR2B'L2DUL'FR',coset 4-2006,C_s_(a) - 2
BF2R2FL2D2F'L2DL'D'F'UL2F'L'R'U'B'F2,coset 4-2006,C_s_(a) - 2
BU2L2R2B'D2L2F'L'F2U'B'DF'D2F'RF'DL,coset 4-2006,C_1 - 1
L2BL2BU2FRB'D'LF'UL2B'D'B2FRFU',coset 4-2006,C_s_(a) - 2
L2B'L2F2U2R2B'L'UB2D2F'D'L'BF2RD2L2F,coset 4-2006,C_1 - 1
U2LU2L'R'D2R2U'B'F'UFDFR'B'D2U'R'U,coset 4-2006,C_s_(a) - 2
L2U2BR2D2L2R2FL2B'RB2DFRUBLB2U',coset 4-2006,C_s_(a) - 2
R2B2U2LD2LR2BR2FU'F'L'DB'D'RFU2F',coset 4-2006,C_s_(a) - 2
D'U'R2UB2R'D2U'LR2DB'FR'D'R2UBRU',coset 4-2006,C_s_(a) - 2
U2L'D2B2F2R'U2L'UF'R'DB'F2D'F2U'L2U2F',coset 4-2006,C_s_(a) - 2
U2L2FD2B'R2DR2BU2FD2L'UR'D'F'LD2F,coset 4-2006,C_1 - 1
LF2D2LF2D2U2R'F'DB'UFU'B'FL'F'D'B',coset 4-2006,C_s_(a) - 2
L2R2D2B'F2UBLDU'L2R'F'DFU'F'LBU',coset 4-2006,C_s_(a) - 2
BD2BFR2BD2B2R'F'D'L'URD2B'L2D2UF',coset 4-2006,C_s_(a) - 2
B'R2FD2L2U2B2D2BFD'B'LR'D2BD'F'L'B',coset 4-2006,C_s_(a) - 2
B'F'R2F2U2B'DRBD'F2R2BD'U2RB'F2L'U',coset 4-2006,C_s_(a) - 2
LB2LRB2D2RDBD'U'BF'LBDR2DR'F2,coset 4-2006,C_s_(a) - 2
BFR2FL2R2D2B2F'R'F2DB'D2L'F2LUF'R',coset 4-2006,C_1 - 1
R'U2F2U2L2U2L'F'DU'L2FLBU'LU'L2U'L',coset 4-2006,C_s_(a) - 2
L2DU2L2F2RB'L2D'F2R2BL'D'R2D2B'RF'U,coset 4-2006,C_s_(a) - 2
R2B2F2D2LR'U2R'UFD2F'RDU2L2BFD'L',coset 4-2006,C_1 - 1
F2UL2DB2UB2R2F'U2R'F2UBFL'D'F2RU2,coset 4-2006,C_s_(a) - 2
D2R2B'L2B'F2R2F2D'LDR'F'U'LDB'FR2F',coset 4-2006,C_s_(a) - 2
F2D2RU2L2RUB2LB'FLDB'U'L'BUB'R',coset 4-2006,C_s_(a) - 2
L2RU2L2R'B2RF'LR2B'F'UR'D'U2BR2FU',coset 4-2006,C_s_(a) - 2
B2D2R2FR2FLB2R'U'F'DBU2F2L'F2U'L2F',coset 4-2006,C_s_(a) - 2
R2F2R2B2R'F2D'B2F'R'B'UB'LU2R2B'D'B2R',coset 4-2006,C_s_(a) - 2
L2B2F'D2R2U'RFL2DFRBU'R2F'LR'F2U2,coset 4-2006,C_2v_(a2) I 4
U2F2R2FL2D2U'L'DB'F2UR2DLDL2BU'R',coset 4-2006,C_2_(a) I 2
U2LB2U2L'R'BR2DF'R2U'R'B2L'DL'B'FR,coset 4-2006,C_s_(a) I 2
L'F2RB2L'U2LU'B'L'BL2FLBDUL2BU2,coset 4-2006,C_2_(a) I 2
D2R2U2R2F2DLD'U2L2RBF'R2U'F'D'B'L'F',coset 4-2006,C_s_(a) A 2
L2RD2R'F2D2B2DU'B'F'D'L2R'FL'F'RU'R',coset 4-2006,C_2v_(a2) I 4
B2U2LB2L'U2L2F2UL2F'L'F2L'DL'BU'F'R',coset 4-2006,C_s_(a) A 2
FR2F'D2B2FD2LU2LDU'L2FU'BU'L'DR',coset 4-2006,C_s_(a) - 2
RB2D2R2B2LU2RBL'B2FL2U'LBDR'U'F2,coset 4-2006,C_s_(a) - 2
BR2U2F2D2L'BUR2DF'R2U'R'DU'BLF2U',coset 4-2006,C_s_(a) - 2
R2DR2UR2B2UB2FL'B2L2U'BD'LRDF'L2,coset 4-2006,C_1 - 1
B2RU2RB2R'D'BFL'F'DL2UL'D'BL2DF',coset 4-2006,C_1 - 1
L2BL2FR2F2U2F'L2UL'DRF2L2BFD'LB',coset 4-2006,C_s_(a) - 2
F'L2D2B2D2R2FU2FDLF'D2R'U'F'LD2RU,coset 4-2006,C_s_(a) - 2
L2B2D2L2RU2L'B2F2D'L2FD'B'FD'F2R'B2F',coset 4-2006,C_s_(a) - 2
R2FD2U2R2URFU2L'F'D'R2F'L'B'DF2RF',coset 4-2006,C_1 - 1
D2BF'D2B'U'BR'FL2D'U2B'F2U'RD'BL'F2,coset 4-2006,C_s_(a) I 2
U2L'U2R'F2D2L'D'B'D2UL'D'FL2D'U2B'R2F',coset 4-2006,C_s_(a) I 2
B2L'R2D2L2R'B2L2BDR2U'B2F'DRBD'U2R2,coset 4-2006,C_2_(a) A 2
F2U'L2U2L2B2RF2RBU'F2U2LFD'B'F2R'U2,coset 4-2006,C_s_(a) - 2
BD2BL2R2BD'ULRD'U2RU2F'LB'U2RU',coset 4-2006,C_2v_(a2) - 4
F'U2R2B'L2F'UR2D2U2FDL'B'DU2B2L'UR',coset 4-2006,C_s_(a) - 2
D2F'D2B'U2B'LUF'RDR2B'F2D2B2DLF2L',coset 4-2006,C_s_(a) - 2
F'L2BR2BR2U2F2R2UL2FDL'B'DU2L'UR',coset 4-2006,C_2v_(a2) - 4
BR2B2U2BR2D'F'D'RF2L'BR'B2DUB'U2R',coset 4-2006,C_s_(a) - 2
L2R2U2F2R2F'L2F'LU2R'BD'F'L'U'B'F2L2U',coset 4-2006,C_s_(a) - 2
RB2U2B2L2B2L'B'F2R'DF'UB'LD'RU2F2R,coset 4-2006,C_s_(a) A 2
L'B2L'F2D2LB'D'FU2FL'F2U'L2U2B'FUR2,coset 4-2006,C_s_(a) - 2
RF2L'D2R2D2UF'D'U2R2U'RF2U'B'D2FUF',coset 4-2006,C_s_(a) - 2
L2D2B2FD2B2UF2D'L'U2FRD'B2D2LR2B'U,coset 4-2006,C_s_(a) A 2
