UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
UFU2D'B2R2FB2L'FR'F'U'B'D2B2L2UD2R',coset exploration,C_2v_(a2) A 4
UFU'RL2U2LFR2D'L'B'URL'F'BD2RD',coset exploration,D_3 A 6
UFRD'BLDRF2U2FR2L'UB'R'LD2RU',coset exploration,C_2h_(a) A 4
UFDRB'LRBF'DR2B'L'B2DU'LF'D'R,coset neighbors,C_2_(a) A 2
UFD'B'F'LRDF2D2BL'FL'F2U2RU'BU',coset neighbors,C_2_(a) A 2
UFL2BR'F2U2L2U'BRD'FR'F'R2U2RU'L',coset neighbors,C_s_(a) I 2
UF2R2B'UL2B'F'U'B2LDBFRFR2U'LD2,coset neighbors,C_2v_(a2) A 4
DL2F2R2B'D2LRU'R2U'F2D'R2U'B'F'D2R'U',kociemba 02-2006,D_4h I 16
D'LR2BF2DF2L2U2L2FLRD2U2F'RD'R'U',kociemba 02-2006,D_3 A 6
RF'DF'R'DL2U'L2DB'F2RD'LF2U'L2R'U',kociemba 02-2006,D_3 A 6
RU2BF'U2LFUF'D'RBD2BUL2RF2R'U',kociemba 02-2006,D_3 A 6
D'L2DFL2BLU'BR'D'L2BR2F2U2B2D2R'U',kociemba 02-2006,C_4h A 8
R'D2B2D2F'LBF2ULFRB2D2F'D2R2U'R'U',kociemba 02-2006,C_4h A 8
D2U'F'LU'B2L2FL'F2L2U2R'D'F'D2FU2R'U',kociemba 02-2006,C_4h A 8
L2F2L2UB2D'L'D2F2R2FD'BRB2LU'F'DR',kociemba 02-2006,C_4h A 8
D'L'D2F2LDBD2R2B'F'R2D2FDRD2F2R'U',kociemba 02-2006,C_4h A 8
LU2L2U2LF'L'U2R'U'B'F2UL'FD2RUR'U',kociemba 02-2006,C_4h A 8
F2R'B2FD'L'U'L2DL'BR'F'UL2D'B'D'R'U',kociemba 02-2006,C_4h A 8
B2L2B2DB2D'L'D2F2R2FD'BRB2LU'F'DR',kociemba 02-2006,C_4h A 8
F2U'FRF2RUFRBL2R2B'LUL2DBR'U2,kociemba 02-2006,C_4h A 8
RDBDFD2R'UL'U2F'RU2L'U'R2D2L'R'U2,kociemba 02-2006,C_4h A 8
U'L2UBL2FLD'FR'U'L2FR2B2D2F2U2R'U',kociemba 02-2006,C_4h A 8
LBD'U2B2L2B'L2ULF'UF2L2D2R'B2F'RU',kociemba 02-2006,C_4h A 8
RFL'U2LR'U'F'R2B'F2L'U'B2RB2F'U2R'U',kociemba 02-2006,C_4h A 8
D2FL'F'D'F'U'BD2U2R'F'RF2L'R'D'FR'U',kociemba 02-2006,C_4h A 8
U2BF2L'R'B'D'F'D'L'B2F'D'B'DF'D2URU',kociemba 02-2006,C_4h A 8
R'D2R'BF'U'RF'U2B2L'FUL'F2D2F2DR'U',kociemba 02-2006,C_4h I 8
RDR'DB'D2UFL2D'RBR2U'LR2FU'R'U',kociemba 02-2006,C_4h I 8
RU'FD2B2L'RU'R'U'B'F'RDFLU2F2R'U',kociemba 02-2006,C_4h I 8
U'F2LB'L'FDRUBU2B2U2L'R2URU2R'U',kociemba 02-2006,C_4h - 8
U'L'D'B'F'DLFR'BFL'BRUB'F'U'R'U',kociemba 02-2006,C_4h - 8
L'R2BUF'R'ULD'B2U'BU2R2UB2RU2R'U',kociemba 02-2006,C_4h I 8
R'D2L2URF'DR2DL2F2L'B2D'FDL'B'R'U',kociemba 02-2006,C_4h - 8
L'BD'F'RFU'FR2ULB2DR2BFD2FR'U',kociemba 02-2006,C_4h I 8
R'DL2F'R2DR2B'FU2F2R'D'BD2B2FU2R'U',kociemba 02-2006,C_4h I 8
UR'BD'UB2LR'B2L'B'D2F2L2F'U'B'F2RU',kociemba 02-2006,C_4h I 8
LR'F'R2D'B'F'UL'R'DFRBD2U'RUR'U',kociemba 02-2006,D_2h_(edge) I 8
F2LR2B'FU2L'DL2RB2DU2F2R'F'RF'R2U',kociemba 02-2006,D_2h_(edge) I 8
R2UR2BL'R'F'R2FRU'L2B'D2R'FL2R2F2U',kociemba 02-2006,D_2h_(edge) I 8
L2R2D'U2RF2UB'FR2U'L'RFDL2D'UR'U',kociemba 02-2006,D_2h_(edge) I 8
BR'B'U'RF2LU'B2U'LB'L'R2BUR2F'R'U',kociemba 02-2006,D_2h_(edge) I 8
L2F2L'FL'D'B'RUBFULBUR2B'U2R'U',kociemba 02-2006,D_2d_(edge) A 8
FLUBL'R2B'F2D2B2D2R'BLUFD'U2R'U',kociemba 02-2006,D_2d_(edge) - 8
D'R2F'U2L'DRD'F'L'R'U'L'UBR'D2F'R2U',kociemba 02-2006,D_2d_(edge) A 8
R'F'DBL'B'UF'U2B'R'B2DF2L2U2RB2RU',kociemba 02-2006,D_2d_(edge) - 8
RB2U'LUR'D'B'D'L'U'F'RB'UL'F2D2R2U',kociemba 02-2006,D_2d_(edge) - 8
R'UR2BFD'F'LB2LF'U2F'UBFR2D'R'U',kociemba 02-2006,D_2d_(edge) - 8
F'L'B2DB'UF2L'F'D'R'B2U'L'D'L'B2F2R2U',kociemba 02-2006,D_2d_(edge) - 8
DRD'R2BF2RD'U'B'FDUR'B2F'R2UR'U',kociemba 02-2006,D_2d_(edge) A 8
F'UB2DL'RU'B2D'FUB2U2R'F2R2FU2R2U',kociemba 02-2006,D_2h_(face) A 8
R'U2L'B2RD2F'RU2B2ULF'R'D2FR'U'R'U',kociemba 02-2006,D_2h_(face) - 8
D'L2R2F'L'BDR'B2U2FRD'L2F2U'F2U2R'U',kociemba 02-2006,D_2h_(face) A 8
FDB2LB'R'FD'B'DBF2D2R'BLD2BR'U',kociemba 02-2006,D_2h_(face) A 8
F'L'B'D2U'R'D'L2BL'D2U'B2L'R2B2F2U'R2U',kociemba 02-2006,D_2h_(face) A 8
F2D2FR'B'FU'F'D'U2FLF'U'L'D2UF'R'U',kociemba 02-2006,D_2h_(face) A 8
ULRUBFDB'F'L'D2B2D2RBLRF'R2U',kociemba 02-2006,D_2h_(face) - 8
R'BU2R2FRD2F2D2UF2RU2L'F'DB'D2R'U',kociemba 02-2006,D_2h_(face) - 8
R2D2B2LD'FR'BDLUFURD'L'DF2R'U',kociemba 02-2006,D_2h_(face) - 8
U'L2R2F2U'L2R2UB'DL'U'F2L'UL2U2L2R2F',kociemba 02-2006,D_2h_(face) - 8
D'L2D2L'B2D2R2FR2D2F2U2R2UL2U2R'U2R2U',kociemba 02-2006,D_2h_(face) - 8
D'L2R2D'F2DL2B'R2UB2RFULURBU'R',kociemba 02-2006,D_2h_(face) A 8
B'FLB2DL2R'DL'UR2DR2F'U2R'D'F2R'U',kociemba 02-2006,D_2h_(face) - 8
BFU2L'DR'F'DLFDB'U2B'UFD'U'R'U',kociemba 02-2006,D_2h_(face) - 8
U2FL2U'BRB'L2F'LB'U'F'L2UR2D'U2R'U',kociemba 02-2006,D_2h_(face) A 8
R2D'B2R2B2D'L2B2D'FUL'D'R2F2UBD'R'U,kociemba 02-2006,S_6 A 6
DL2U'B2L2B2DB2UL2U2R2BFL'DUF2L'R',kociemba 02-2006,C_2v_(a1) I 4
UB2D'B2F2D'LRD2BR2D'R2U2R'B2U2R2FR2,kociemba 02-2006,C_2v_(a1) I 4
DR2DF2L2DF2D'BFU2LDUF'R2U2F'L'R',kociemba 02-2006,C_2v_(a1) I 4
D'U2B2R2UR2D'LR'DB2U'LU2B'RU'L2FR',kociemba 02-2006,C_2v_(a1) I 4
UL2D2R2F2D'B2U'BDFR'BLD2U'FD'F2R,kociemba 02-2006,C_2v_(a1) I 4
L'F2D'L2R'D'L'F2D2U'L'FU'L2D'B2U2L'F'U',kociemba 02-2006,C_2v_(a1) I 4
UR2UL2F2L2U'L2U'L2B2U2BFL'D'U'F2LR,kociemba 02-2006,C_2v_(a1) I 4
B2DF2U'B2UR2D'LRFDUR'D2F2LBFR2,kociemba 02-2006,C_2v_(a1) I 4
LB2R2DF'D2R2UBFLDL'F'U2R'FU2R2U',kociemba 02-2006,C_2v_(a1) I 4
D'R2D2L2F2UB2U'BDFR'BLD2U'FD'F2R,kociemba 02-2006,C_2v_(a1) I 4
B2UF2D'B2DL'R'BDUL'D2B2L'D2L2BF'U',kociemba 02-2006,C_2v_(a1) I 4
F2L2U2F2U'R2D'FL'D'B'U'L2DR'B'LRD2R,kociemba 02-2006,C_2v_(a1) I 4
B2R2FL2U'RF2L'UL'D'URU2RUR2U2F'U',kociemba 02-2006,C_2v_(a1) I 4
B'U2R2URU2RD'UL'UL'B2RU'L2BR2F2U',kociemba 02-2006,C_2v_(a1) I 4
UR2DF2U2B2L'R'B'DU'R2B2LB'F'U2R2U'R2,kociemba 02-2006,C_2v_(a1) I 4
U'F2DR2F2R2U'L2U'R2U2R2BFR'DUF2L'R',kociemba 02-2006,C_2v_(a1) I 4
UF2D2R2U'L2DBF'RB2L'U2L'DU'B'D2LR',kociemba 02-2006,C_2v_(a1) I 4
DR2DL2B2L2D'L2D'L2F2U2BFR'D'U'F2LR,kociemba 02-2006,C_2v_(a1) I 4
D'B2U2F2R2D'L2UB'U'F'RB'L'DU2F'UF2R',kociemba 02-2006,C_2v_(a1) I 4
DB2UL2U'R2D2U'L'BRULFU2L'R2DFR2,kociemba 02-2006,C_2v_(a1) I 4
L2UR2U2F2D2L'F'UBRBU2L'D'F2L2B'F2R',kociemba 02-2006,C_2v_(a1) I 4
